Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-29 13:17:32.2919;1440;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6166;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:32.3049;1441;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6626;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:32.5369;1459;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6426;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:36.6411;1718;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6953;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:37.3048;1762;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6355;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 13:17:37.4290;1770;b35b397fac1cf79f4a8ca646a918efae;anonymous;NULL;NULL;NULL;Open;1;0.0130;0.0000;Running;1.2613;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 13:17:39.1697;1888;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6685;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 13:17:41.4260;2038;b35b397fac1cf79f4a8ca646a918efae;anonymous;NULL;NULL;NULL;Closed;1;0.0150;0.0000;Running;1.2613;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 13:17:41.4270;2038;b35b397fac1cf79f4a8ca646a918efae;anonymous;NULL;NULL;NULL;Closed;1;0.0150;0.0000;Running;1.2613;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-29 13:17:42.6593;2120;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6357;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
