Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-02-02 15:19:03.6271;5511;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;5;-10.2564;0.0000;Running;1.0097;13;0.0500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:19:03.6281;5511;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;5;-10.2564;0.0000;Running;1.0097;12;0.1000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-02-02 15:19:03.9961;5540;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7143;10
MotorImagery;2021-02-02 15:19:04.0949;5547;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7528;11
Rest;2021-02-02 15:19:04.2146;5555;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6298;11
MotorImagery;2021-02-02 15:19:14.0613;6279;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7386;12
Rest;2021-02-02 15:19:14.1790;6287;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6948;12
InputWindowChange;2021-02-02 15:19:14.4792;6308;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;6;-10.2564;0.0000;Running;1.5198;12;0.1000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:19:18.4804;6595;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;6;-10.2370;0.0000;Running;1.5198;12;0.1000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:19:18.4884;6595;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;6;-10.2370;0.0000;Running;1.5198;12;0.1000;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-02-02 15:19:28.8417;7342;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;7;-10.2370;0.0000;Running;2.8384;12;0.1000;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:19:32.8259;7617;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;7;-10.2331;0.0000;Running;2.8384;12;0.1000;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:19:32.8329;7617;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;7;-10.2331;0.0000;Running;2.8384;12;0.1000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-02-02 15:19:43.1885;8374;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;8;-10.2331;0.0000;Running;2.3348;12;0.1000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:19:47.1870;8674;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;8;-10.2235;0.0000;Running;2.3348;12;0.1000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:19:47.1890;8674;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;8;-10.2235;0.0000;Running;2.3348;12;0.1000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-02-02 15:19:49.9815;8882;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7896;13
Rest;2021-02-02 15:19:50.1291;8892;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7125;13
MotorImagery;2021-02-02 15:19:50.2149;8898;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7549;14
