Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
InputWindowChange;2021-01-25 15:47:33.2026;5237;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;4;-3.3587;0.0000;Running;4.2569;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:33.2026;5237;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;4;-3.3587;0.0000;Running;4.2569;16;0.2000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-25 15:47:33.3273;5255;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6267;6;(0.679 0.694 0.691 0.661 0.659 0.627 0.705 0.681 );NULL
InputWindowChange;2021-01-25 15:47:38.5629;6004;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;5;0.0000;0.0000;Running;3.7113;16;0.2000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:47:43.5683;6720;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;5;0.0054;0.0000;Running;3.7113;16;0.2000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:43.5693;6720;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;5;0.0054;0.0000;Running;3.7113;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:47:45.5656;7006;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;6;0.0000;0.0000;Running;4.5311;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:47:50.5685;7722;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;6;0.0029;0.0000;Running;4.5311;16;0.2000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:50.5695;7722;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;6;0.0029;0.0000;Running;4.5311;16;0.2000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:47:52.5708;8008;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;7;0.0000;0.0000;Running;4.4750;16;0.2000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:47:57.5674;8724;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;7;0.0006;0.0000;Running;4.4750;16;0.2000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:57.5684;8724;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;7;0.0006;0.0000;Running;4.4750;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:47:59.5726;9011;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;8;0.0000;0.0000;Running;4.4580;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-25 15:48:04.2408;9679;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6427;7;(0.646 0.643 0.663 0.659 0.670 0.679 0.665 0.683 );NULL
InputWindowChange;2021-01-25 15:48:04.2418;9679;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;8;-0.3317;0.0000;Running;4.4580;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:04.2418;9679;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;8;-0.3317;0.0000;Running;4.4580;15;0.2500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-25 15:48:04.2478;9680;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6170;7;(0.646 0.643 0.617 0.659 0.670 0.679 0.665 0.683 );NULL
InputWindowChange;2021-01-25 15:48:06.5736;10013;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;9;0.0000;0.0000;Running;1.3852;15;0.2500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:11.5772;10729;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;9;0.0026;0.0000;Running;1.3852;15;0.2500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:11.5797;10729;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;9;0.0026;0.0000;Running;1.3852;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:13.5782;11015;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;10;0.0000;0.0000;Running;4.8643;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:18.5803;11731;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;10;0.0031;0.0000;Running;4.8643;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:18.5823;11731;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;10;0.0031;0.0000;Running;4.8643;15;0.2500;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
