Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-29 11:21:07.1235;2645;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6176;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:12.5703;3025;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6966;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:13.8928;3106;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.5704;16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:17.2555;3329;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;3;-5.9640;0.0000;Running;1.3076;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:21:19.1039;3459;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6603;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:19.1039;3459;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;3;-8.0926;0.0000;Running;1.3076;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:21:19.1069;3459;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;3;-8.0926;0.0000;Running;1.3076;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:21:19.6699;3498;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6336;17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:23.3303;3756;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6558;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:23.3353;3757;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6413;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
