Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-01-29 14:51:43.2616;7248;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;6;-1.0676;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:51:47.2515;7519;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;6;-1.0502;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:51:47.2595;7519;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;6;-1.0502;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 14:51:47.8587;7557;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7710;6
Rest;2021-01-29 14:51:48.7719;7621;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7061;6
InputWindowChange;2021-01-29 14:51:58.0476;8269;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;7;-1.0502;0.0000;Running;1.8979;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:52:02.0558;8548;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;7;-1.0269;0.0000;Running;1.8979;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:52:02.0568;8548;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;7;-1.0269;0.0000;Running;1.8979;18;0.1000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:52:13.2250;9317;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;8;-1.0269;0.0000;Running;2.7497;18;0.1000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:52:17.2045;9596;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;8;-1.0256;0.0000;Running;2.7497;18;0.1000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:52:17.2054;9596;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;8;-1.0256;0.0000;Running;2.7497;18;0.1000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 14:52:23.0006;10002;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7533;7
Rest;2021-01-29 14:52:23.1770;10014;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7397;7
InputWindowChange;2021-01-29 14:52:28.4027;10376;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;9;-1.0256;0.0000;Running;1.6001;18;0.1000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 14:52:29.2595;10436;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7580;8
InputWindowChange;2021-01-29 14:52:29.2605;10436;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;9;-4.1670;0.0000;Running;1.6001;18;0.1000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:52:29.2654;10436;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;9;-4.1670;0.0000;Running;1.6001;17;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 14:52:29.9306;10484;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7469;8
InputWindowChange;2021-01-29 14:52:39.9946;11192;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;10;-4.1670;0.0000;Running;1.1389;17;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:52:43.9812;11465;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;10;-4.1555;0.0000;Running;1.1389;17;0.1500;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:52:43.9832;11465;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;10;-4.1555;0.0000;Running;1.1389;17;0.1500;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 14:52:43.9911;11467;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7554;9
