Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
InputWindowChange;2021-01-28 13:12:43.5939;7340;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;17;0.0000;0.0000;Running;2.9257;13;0.0000;0;0.3000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:48.6005;7635;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;17;0.0120;0.0000;Running;2.9257;13;0.0000;0;0.3000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:48.6025;7635;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;17;0.0120;0.0000;Running;2.9257;13;0.0000;0;0.3000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:12:50.5993;7751;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;18;0.0000;0.0000;Running;3.2903;13;0.0000;0;0.3000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:55.6022;8046;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;18;0.0034;0.0000;Running;3.2903;13;0.0000;0;0.3000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:55.6032;8046;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;18;0.0034;0.0000;Running;3.2903;13;0.0000;0;0.3000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:12:57.6069;8164;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;19;0.0000;0.0000;Running;1.9295;13;0.0000;0;0.3000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:13:02.6208;8460;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;19;0.0153;0.0000;Running;1.9295;13;0.0000;0;0.3000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:13:02.6288;8460;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;19;0.0153;0.0000;Running;1.9295;13;0.0000;0;0.3000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
GameStopped;2021-01-28 13:13:04.6154;8578;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;20;0.0000;0.0000;Stopped;1.9295;13;0.0000;0;0.3000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameStopped;2021-01-28 13:13:16.9360;9229;155c5edae721059dbd93b78386d08eec;anonymous;Closed;20;0.0000;0.0000;Stopped;1.9295;13;0.0000;0;0.3000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;NA
