Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
InputWindowChange;2021-01-29 10:52:06.2786;2555;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;6;0.0000;0.0000;Running;4.2288;9;0.2500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 10:52:11.2890;2833;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;6;0.0101;0.0000;Running;4.2288;9;0.2500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:11.2930;2833;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;6;0.0101;0.0000;Running;4.2288;9;0.2500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-29 10:52:13.2899;2945;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;7;0.0000;0.0000;Running;1.9391;9;0.2500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 10:52:15.2448;3050;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;7;-3.0451;0.0000;Running;1.9391;9;0.2500;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:15.2468;3050;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;7;-3.0451;0.0000;Running;1.9391;9;0.2500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
InputWindowChange;2021-01-29 10:52:20.3013;3337;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;8;0.0000;0.0000;Running;3.0885;9;0.2500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:25.0174;3609;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7100;9;(0.716 0.707 0.710 0.688 0.714 0.722 0.722 0.738 );NULL
InputWindowChange;2021-01-29 10:52:25.0234;3609;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;8;-0.2838;0.0000;Running;3.0885;9;0.2500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:25.0244;3609;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;8;-0.2838;0.0000;Running;3.0885;8;0.3000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
