Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-01-28 13:17:47.5326;8786;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;9;-9.4611;0.0000;Running;2.8047;11;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:17:51.5115;9056;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;9;-9.4597;0.0000;Running;2.8047;11;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:17:51.5125;9056;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;9;-9.4597;0.0000;Running;2.8047;11;0.0500;2;0.2000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:18:02.5298;9812;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;10;-9.4597;0.0000;Running;1.7923;11;0.0500;2;0.2000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:18:06.5112;10088;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;10;-9.4595;0.0000;Running;1.7923;11;0.0500;2;0.2000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:18:06.5142;10088;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;10;-9.4595;0.0000;Running;1.7923;11;0.0500;2;0.2000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:18:16.9033;10804;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;11;-9.4595;0.0000;Running;2.1507;11;0.0500;2;0.2000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:18:19.0364;10954;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;11;-11.3021;0.0000;Running;2.1507;11;0.0500;2;0.2000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:18:19.0374;10954;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;11;-11.3021;0.0000;Running;2.1507;11;0.0500;1;0.2500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
InputWindowChange;2021-01-28 13:18:29.0718;11646;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;12;-11.3021;0.0000;Running;1.1680;11;0.0500;1;0.2500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:18:33.0674;11918;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;12;-11.2769;0.0000;Running;1.1680;11;0.0500;1;0.2500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:18:33.0684;11918;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;12;-11.2769;0.0000;Running;1.1680;11;0.0500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:18:44.0605;12668;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;13;-11.2769;0.0000;Running;2.3848;11;0.0500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:18:48.0636;12947;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;13;-11.2570;0.0000;Running;2.3848;11;0.0500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:18:48.0686;12947;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;13;-11.2570;0.0000;Running;2.3848;11;0.0500;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:18:58.4207;13657;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;14;-11.2570;0.0000;Running;2.6585;11;0.0500;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
