Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 11:22:10.1554;2324;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:10.5766;2349;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;4;0.0000;0.0000;Running;1.5936;14;0.0000;0;0.0000;2;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:22:16.3558;2455;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:22:22.5629;2585;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:22.9521;2608;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;4;0.0007;0.0000;Running;1.5936;14;0.0000;0;0.0000;2;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:22:22.9601;2608;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;4;0.0007;0.0000;Running;1.5936;15;0.0000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 11:22:28.6422;2708;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;5;0.0000;0.0000;Running;1.7757;15;0.0000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:22:28.7609;2715;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:22:34.9578;2845;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:41.0338;2967;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;5;0.0076;0.0000;Running;1.7757;15;0.0000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:22:41.0358;2967;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;5;0.0076;0.0000;Running;1.7757;16;0.0000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:22:41.1595;2975;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:46.6978;3066;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;6;0.0000;0.0000;Running;3.8196;16;0.0000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:22:47.3542;3105;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:22:53.5661;3235;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:59.0789;3325;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;6;0.0031;0.0000;Running;3.8196;16;0.0000;0;0.0000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:22:59.0859;3325;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;6;0.0031;0.0000;Running;3.8196;17;0.0000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:22:59.7542;3365;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:23:04.7675;3425;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;7;0.0000;0.0000;Running;1.2096;17;0.0000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:23:05.9519;3495;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:23:12.1656;3626;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:23:17.1547;3684;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;7;0.0024;0.0000;Running;1.2096;17;0.0000;0;0.0000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:23:17.1627;3684;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;7;0.0024;0.0000;Running;1.2096;18;0.0000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:23:18.3640;3756;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:23:22.8939;3787;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;8;0.0000;0.0000;Running;4.6374;18;0.0000;0;0.0000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:23:24.5621;3886;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:23:30.7448;4016;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
