Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
MotorImagery;2021-01-29 11:14:27.1892;2731;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7010;11;NULL
Rest;2021-01-29 11:14:28.6961;2855;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6186;11;NULL
MotorImagery;2021-01-29 11:14:29.8930;2955;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6789;12;NULL
Rest;2021-01-29 11:14:30.1025;2973;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6327;12;NULL
MotorImagery;2021-01-29 11:14:30.1225;2974;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6570;13;NULL
Rest;2021-01-29 11:14:30.2654;2987;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6220;13;NULL
InputWindowChange;2021-01-29 11:14:30.3232;2992;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Open;2;-2.6541;0.0000;Running;1.4531;10;0.0000;5;0.0385;9;0.0385;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 11:14:32.6829;3190;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6887;14;NULL
Rest;2021-01-29 11:14:32.9063;3210;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6366;14;NULL
MotorImagery;2021-01-29 11:14:32.9273;3211;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6532;15;NULL
