Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
MotorImagery;2021-01-26 11:18:39.9484;3922;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7221;7;(0.727 0.723 0.743 0.741 0.727 0.722 0.705 0.752 )
Rest;2021-01-26 11:18:40.0691;3929;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6736;7;(0.674 0.723 0.743 0.741 0.727 0.722 0.708 0.703 )
InputWindowChange;2021-01-26 11:18:43.6733;4142;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;7;0.0000;0.0000;Running;3.9683;11;0.1500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:18:47.9796;4397;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9076;8;(0.842 0.869 0.901 0.908 0.701 0.711 0.742 0.794 )
InputWindowChange;2021-01-26 11:18:47.9796;4397;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;7;-0.6900;0.0000;Running;3.9683;11;0.1500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:47.9806;4397;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;7;-0.6900;0.0000;Running;3.9683;10;0.2000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:18:48.7764;4444;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6784;8;(0.789 0.678 0.889 0.874 0.872 0.857 0.843 0.808 )
InputWindowChange;2021-01-26 11:18:50.6813;4557;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;8;0.0000;0.0000;Running;3.1102;10;0.2000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:18:53.3467;4715;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9145;9;(0.767 0.798 0.817 0.869 0.915 0.731 0.713 0.746 )
InputWindowChange;2021-01-26 11:18:53.8075;4742;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;8;-1.8756;0.0000;Running;3.1102;10;0.2000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:53.8085;4742;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;8;-1.8756;0.0000;Running;3.1102;10;0.2000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
Rest;2021-01-26 11:18:54.3611;4775;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6939;9;(0.845 0.843 0.833 0.820 0.721 0.721 0.694 0.844 )
InputWindowChange;2021-01-26 11:18:57.7002;4973;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;9;0.0000;0.0000;Running;4.3084;10;0.2000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:19:02.4178;5252;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8126;10;(0.804 0.791 0.787 0.802 0.813 0.708 0.726 0.787 )
InputWindowChange;2021-01-26 11:19:02.4178;5252;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;9;-0.2814;0.0000;Running;4.3084;10;0.2000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:02.4188;5252;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;9;-0.2814;0.0000;Running;4.3084;9;0.2500;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:19:02.9415;5283;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6696;10;(0.742 0.744 0.748 0.717 0.670 0.801 0.792 0.760 )
InputWindowChange;2021-01-26 11:19:04.7083;5387;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;10;0.0000;0.0000;Running;2.3735;9;0.2500;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:19:07.9233;5576;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7620;11;(0.755 0.762 0.765 0.797 0.782 0.777 0.779 0.749 )
InputWindowChange;2021-01-26 11:19:07.9243;5576;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;10;-1.7857;0.0000;Running;2.3735;9;0.2500;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:07.9263;5576;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;10;-1.7857;0.0000;Running;2.3735;8;0.3000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:19:08.5693;5614;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6751;11;(0.825 0.777 0.713 0.675 0.811 0.840 0.841 0.833 )
InputWindowChange;2021-01-26 11:19:11.7213;5800;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;11;0.0000;0.0000;Running;2.8889;8;0.3000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
