Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
MotorImagery;2021-01-26 11:15:08.7247;3671;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8073;5;(0.774 0.784 0.807 0.758 0.787 0.803 0.802 0.791 )
InputWindowChange;2021-01-26 11:15:08.7247;3671;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;7;-3.3157;0.0000;Running;4.3843;17;0.1500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:08.7267;3671;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;7;-3.3157;0.0000;Running;4.3843;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:09.3743;3709;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6988;5;(0.843 0.849 0.853 0.806 0.742 0.720 0.699 0.830 )
MotorImagery;2021-01-26 11:15:11.3085;3823;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7878;6;(0.737 0.762 0.764 0.759 0.775 0.790 0.788 0.704 )
Rest;2021-01-26 11:15:11.4282;3830;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6877;6;(0.688 0.762 0.764 0.759 0.775 0.790 0.788 0.764 )
InputWindowChange;2021-01-26 11:15:14.0551;3985;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;8;0.0000;0.0000;Running;2.4431;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:15:19.0601;4278;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;8;0.0030;0.0000;Running;2.4431;16;0.2000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:19.0691;4278;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;8;0.0030;0.0000;Running;2.4431;16;0.2000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:15:21.0609;4395;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;9;0.0000;0.0000;Running;2.3913;16;0.2000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:22.1383;4458;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8694;7;(0.771 0.827 0.869 0.736 0.753 0.738 0.707 0.736 )
InputWindowChange;2021-01-26 11:15:22.1393;4458;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;9;-3.9228;0.0000;Running;2.3913;16;0.2000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:22.1393;4458;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;9;-3.9228;0.0000;Running;2.3913;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:15:23.1637;4518;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6521;7;(0.816 0.787 0.746 0.652 0.879 0.868 0.865 0.856 )
InputWindowChange;2021-01-26 11:15:28.0701;4804;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;10;0.0000;0.0000;Running;3.4678;15;0.2500;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:15:32.1052;5041;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7652;8;(0.785 0.765 0.722 0.759 0.760 0.774 0.760 0.774 )
